DISTRITO_NORM,PROVINCIA_NORM,ANIO,MES,ira_no_neumonia,neumonias_men5,neumonias_60mas,hospitalizados_men5,hospitalizados_60mas,defunciones_men5,defunciones_60mas,TOTAL_CASOS,POBLACION,TASA_INCIDENCIA,ESTRATO,PRODUCCION
ALCA,LA UNION,2022,8,24.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1813.0,13.237727523441809,NO MINERIA,0.0
ALCA,LA UNION,2022,9,28.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1813.0,15.444015444015445,NO MINERIA,0.0
ALCA,LA UNION,2022,10,27.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1813.0,14.892443463872034,NO MINERIA,0.0
ALCA,LA UNION,2022,11,31.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1813.0,17.098731384445667,NO MINERIA,0.0
ALCA,LA UNION,2022,12,41.0,1.0,1.0,0.0,0.0,0.0,0.0,43.0,1813.0,23.717595146166577,NO MINERIA,0.0
ALCA,LA UNION,2023,1,11.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1795.0,6.128133704735376,NO MINERIA,0.0
ALCA,LA UNION,2023,2,15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1795.0,8.356545961002785,NO MINERIA,0.0
ALCA,LA UNION,2023,3,19.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1795.0,10.584958217270195,NO MINERIA,0.0
ALCA,LA UNION,2023,4,33.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,1795.0,18.941504178272982,NO MINERIA,0.0
ALCA,LA UNION,2023,5,54.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,1795.0,30.08356545961003,NO MINERIA,0.0
ALCA,LA UNION,2023,6,37.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1795.0,20.61281337047354,NO MINERIA,0.0
