DISTRITO_NORM,PROVINCIA_NORM,ANIO,MES,ira_no_neumonia,neumonias_men5,neumonias_60mas,hospitalizados_men5,hospitalizados_60mas,defunciones_men5,defunciones_60mas,TOTAL_CASOS,POBLACION,TASA_INCIDENCIA
ANDAGUA,CASTILLA,2022,9,6,0,0,0,0,0,0,6,977.0,6.1412487205731825
ANDAGUA,CASTILLA,2022,10,2,0,0,0,0,0,0,2,977.0,2.0470829068577276
ANDAGUA,CASTILLA,2022,11,7,0,0,0,0,0,0,7,977.0,7.164790174002047
ANDAGUA,CASTILLA,2022,12,49,0,0,0,0,0,0,49,977.0,50.15353121801433
ANDAGUA,CASTILLA,2023,1,2,0,0,0,0,0,0,2,961.0,2.081165452653486
ANDAGUA,CASTILLA,2023,2,5,0,0,0,0,0,0,5,961.0,5.202913631633715
ANDAGUA,CASTILLA,2023,3,2,0,0,0,0,0,0,2,961.0,2.081165452653486
ANDAGUA,CASTILLA,2023,4,6,0,0,0,0,0,0,6,961.0,6.243496357960457
ANDAGUA,CASTILLA,2023,5,4,0,0,0,0,0,0,4,961.0,4.162330905306972
ANDAGUA,CASTILLA,2023,6,4,0,0,0,0,0,0,4,961.0,4.162330905306972
ANDAGUA,CASTILLA,2023,7,7,0,0,0,0,0,0,7,961.0,7.284079084287201
ANDAGUA,CASTILLA,2023,8,16,0,1,0,0,0,0,17,961.0,17.68990634755463
ANDAGUA,CASTILLA,2023,9,11,0,0,0,0,0,0,11,961.0,11.446409989594173
ANDAGUA,CASTILLA,2023,10,3,0,0,0,0,0,0,3,961.0,3.1217481789802286
ANDAGUA,CASTILLA,2023,11,15,0,1,0,0,0,0,16,961.0,16.64932362122789
ANDAGUA,CASTILLA,2023,12,8,0,0,0,0,0,0,8,961.0,8.324661810613945
ANDARAY,CONDESUYOS,2021,1,3,0,0,0,0,0,0,3,678.0,4.424778761061947
ANDARAY,CONDESUYOS,2021,2,1,0,0,0,0,0,0,1,678.0,1.4749262536873156
ANDARAY,CONDESUYOS,2021,3,1,0,0,0,0,0,0,1,678.0,1.4749262536873156
ANDARAY,CONDESUYOS,2021,4,1,0,0,0,0,0,0,1,678.0,1.4749262536873156
ANDARAY,CONDESUYOS,2021,5,1,0,1,0,0,0,0,2,678.0,2.949852507374631
ANDARAY,CONDESUYOS,2021,6,2,0,0,0,0,0,0,2,678.0,2.949852507374631
ANDARAY,CONDESUYOS,2021,7,2,0,0,0,0,0,0,2,678.0,2.949852507374631
ANDARAY,CONDESUYOS,2021,8,2,0,0,0,0,0,0,2,678.0,2.949852507374631
ANDARAY,CONDESUYOS,2021,9,2,0,0,0,0,0,0,2,678.0,2.949852507374631
ANDARAY,CONDESUYOS,2021,10,3,0,0,0,0,0,0,3,678.0,4.424778761061947
ANDARAY,CONDESUYOS,2021,11,4,0,0,0,0,0,0,4,678.0,5.899705014749262
ANDARAY,CONDESUYOS,2021,12,2,0,0,0,0,0,0,2,678.0,2.949852507374631
ANDARAY,CONDESUYOS,2022,1,10,0,0,0,0,0,0,10,671.0,14.903129657228018
ANDARAY,CONDESUYOS,2022,2,3,0,0,0,0,0,0,3,671.0,4.470938897168406
ANDARAY,CONDESUYOS,2022,4,8,0,0,0,0,0,0,8,671.0,11.922503725782414
ANDARAY,CONDESUYOS,2022,5,9,0,0,0,0,0,0,9,671.0,13.412816691505217
ANDARAY,CONDESUYOS,2022,6,9,0,0,0,0,0,0,9,671.0,13.412816691505217
ANDARAY,CONDESUYOS,2022,7,15,0,0,0,0,0,0,15,671.0,22.35469448584203
ANDARAY,CONDESUYOS,2022,8,8,0,0,0,0,0,0,8,671.0,11.922503725782414
ANDARAY,CONDESUYOS,2022,9,2,0,0,0,0,0,0,2,671.0,2.9806259314456036
ANDARAY,CONDESUYOS,2022,10,3,0,0,0,0,0,0,3,671.0,4.470938897168406
ANDARAY,CONDESUYOS,2022,11,1,0,0,0,0,0,0,1,671.0,1.4903129657228018
ANDARAY,CONDESUYOS,2022,12,11,0,0,0,0,0,0,11,671.0,16.393442622950822
ANDARAY,CONDESUYOS,2023,1,5,0,0,0,0,0,0,5,664.0,7.530120481927711
ANDARAY,CONDESUYOS,2023,2,0,0,0,0,0,0,0,0,664.0,0.0
ANDARAY,CONDESUYOS,2023,3,2,0,0,0,0,0,0,2,664.0,3.0120481927710845
ANDARAY,CONDESUYOS,2023,4,3,0,1,0,1,0,0,4,664.0,6.024096385542169
ANDARAY,CONDESUYOS,2023,5,5,0,0,0,0,0,0,5,664.0,7.530120481927711
ANDARAY,CONDESUYOS,2023,6,3,0,0,0,0,0,0,3,664.0,4.518072289156627
ANDARAY,CONDESUYOS,2023,7,12,0,0,0,0,0,0,12,664.0,18.072289156626507
ANDARAY,CONDESUYOS,2023,8,9,0,0,0,0,0,0,9,664.0,13.55421686746988
ANDARAY,CONDESUYOS,2023,9,6,0,0,0,0,0,0,6,664.0,9.036144578313253
ANDARAY,CONDESUYOS,2023,10,1,0,0,0,0,0,0,1,664.0,1.5060240963855422
ANDARAY,CONDESUYOS,2023,11,4,0,0,0,0,0,0,4,664.0,6.024096385542169
ANDARAY,CONDESUYOS,2023,12,17,0,0,0,0,0,0,17,664.0,25.602409638554217
APLAO,CASTILLA,2021,1,33,9,3,0,3,0,0,45,8994.0,5.003335557038025
APLAO,CASTILLA,2021,2,31,0,5,0,4,0,0,36,8994.0,4.0026684456304205
APLAO,CASTILLA,2021,3,21,4,8,0,6,0,0,33,8994.0,3.669112741827885
APLAO,CASTILLA,2021,4,54,0,6,0,3,0,0,60,8994.0,6.6711140760507
APLAO,CASTILLA,2021,5,46,0,22,0,9,0,0,68,8994.0,7.560595952857461
APLAO,CASTILLA,2021,6,23,0,14,0,9,0,0,37,8994.0,4.113853680231265
APLAO,CASTILLA,2021,7,11,0,12,0,9,0,0,23,8994.0,2.5572603958194353
APLAO,CASTILLA,2021,8,35,0,0,0,0,0,0,35,8994.0,3.891483211029575
APLAO,CASTILLA,2021,9,61,2,2,0,0,0,0,65,8994.0,7.227040249054926
APLAO,CASTILLA,2021,10,25,0,0,0,0,0,0,25,8994.0,2.779630865021125
APLAO,CASTILLA,2021,11,30,0,0,0,0,0,0,30,8994.0,3.33555703802535
APLAO,CASTILLA,2021,12,50,0,1,0,0,0,0,51,8994.0,5.670446964643095
APLAO,CASTILLA,2022,1,86,3,2,3,2,0,1,91,9023.0,10.08533747090768
APLAO,CASTILLA,2022,2,55,1,2,0,0,0,0,58,9023.0,6.42801728914995
APLAO,CASTILLA,2022,3,35,0,7,0,3,0,0,42,9023.0,4.654771140418929
APLAO,CASTILLA,2022,4,94,0,0,0,0,0,0,94,9023.0,10.417821123794745
APLAO,CASTILLA,2022,5,174,0,0,0,0,0,0,174,9023.0,19.28405186744985
APLAO,CASTILLA,2022,6,161,0,0,0,0,0,0,161,9023.0,17.8432893716059
APLAO,CASTILLA,2022,7,172,1,0,1,0,0,0,173,9023.0,19.173223983154163
APLAO,CASTILLA,2022,8,122,0,1,0,0,0,0,123,9023.0,13.631829768369721
APLAO,CASTILLA,2022,9,102,0,0,0,0,0,0,102,9023.0,11.304444198160258
APLAO,CASTILLA,2022,10,83,1,1,0,1,0,0,85,9023.0,9.420370165133548
APLAO,CASTILLA,2022,11,93,0,2,0,2,0,0,95,9023.0,10.528649008090436
APLAO,CASTILLA,2022,12,196,4,7,2,5,0,0,207,9023.0,22.94137204920758
APLAO,CASTILLA,2023,1,57,0,3,0,2,0,0,60,9057.0,6.624710168930109
APLAO,CASTILLA,2023,2,61,1,2,0,1,0,0,64,9057.0,7.06635751352545
APLAO,CASTILLA,2023,3,60,0,2,0,0,0,0,62,9057.0,6.8455338412277795
APLAO,CASTILLA,2023,4,190,2,3,0,0,0,0,195,9057.0,21.530308049022857
APLAO,CASTILLA,2023,5,98,0,2,0,0,0,0,100,9057.0,11.041183614883515
APLAO,CASTILLA,2023,6,158,0,3,0,0,0,0,161,9057.0,17.77630561996246
APLAO,CASTILLA,2023,7,131,0,7,0,0,0,0,138,9057.0,15.236833388539251
APLAO,CASTILLA,2023,8,133,0,2,0,0,0,0,135,9057.0,14.905597880092747
APLAO,CASTILLA,2023,9,86,0,2,0,0,0,1,88,9057.0,9.716241581097494
APLAO,CASTILLA,2023,10,125,0,6,0,0,0,0,131,9057.0,14.463950535497405
APLAO,CASTILLA,2023,11,136,0,1,0,0,0,0,137,9057.0,15.126421552390415
APLAO,CASTILLA,2023,12,168,2,10,0,0,0,0,180,9057.0,19.87413050679033
AREQUIPA,AREQUIPA,2021,1,236,4,25,3,20,0,2,265,54412.0,4.870249209733147
AREQUIPA,AREQUIPA,2021,2,157,1,34,1,25,0,2,192,54412.0,3.52863338969345
AREQUIPA,AREQUIPA,2021,3,197,0,31,0,13,0,1,228,54412.0,4.190252150260972
AREQUIPA,AREQUIPA,2021,4,228,0,34,0,20,0,4,262,54412.0,4.815114313019187
AREQUIPA,AREQUIPA,2021,5,362,2,47,1,25,0,4,411,54412.0,7.553480849812541
AREQUIPA,AREQUIPA,2021,6,320,0,49,0,29,0,0,369,54412.0,6.7815922958170995
AREQUIPA,AREQUIPA,2021,7,304,0,26,0,16,0,0,330,54412.0,6.064838638535617
AREQUIPA,AREQUIPA,2021,8,366,7,17,3,8,1,1,390,54412.0,7.167536572814821
AREQUIPA,AREQUIPA,2021,9,449,5,11,2,6,0,0,465,54412.0,8.545908990663825
AREQUIPA,AREQUIPA,2021,10,334,2,15,2,7,0,0,351,54412.0,6.450782915533338
AREQUIPA,AREQUIPA,2021,11,409,0,6,0,3,0,0,415,54412.0,7.6269940454311556
AREQUIPA,AREQUIPA,2021,12,832,7,36,4,23,0,6,875,54412.0,16.081011541571712
