DISTRITO_NORM,PROVINCIA_NORM,ANIO,MES,ESTRATO,PRODUCCION
CERRO COLORADO,AREQUIPA,2023,3,PRODUCTOR MINERO ARTESANAL,0.0
CERRO COLORADO,AREQUIPA,2023,4,PEQUEÑO PRODUCTOR MINERO,3150.0
CERRO COLORADO,AREQUIPA,2023,4,PRODUCTOR MINERO ARTESANAL,1168.0
CERRO COLORADO,AREQUIPA,2023,5,PEQUEÑO PRODUCTOR MINERO,335.0
CERRO COLORADO,AREQUIPA,2023,5,PRODUCTOR MINERO ARTESANAL,0.0
CERRO COLORADO,AREQUIPA,2023,6,PEQUEÑO PRODUCTOR MINERO,1750.0
CERRO COLORADO,AREQUIPA,2023,6,PRODUCTOR MINERO ARTESANAL,0.0
CERRO COLORADO,AREQUIPA,2023,7,PEQUEÑO PRODUCTOR MINERO,2891.0
CERRO COLORADO,AREQUIPA,2023,7,PRODUCTOR MINERO ARTESANAL,0.0
CERRO COLORADO,AREQUIPA,2023,8,PEQUEÑO PRODUCTOR MINERO,3429.0
CERRO COLORADO,AREQUIPA,2023,8,PRODUCTOR MINERO ARTESANAL,0.0
CERRO COLORADO,AREQUIPA,2023,9,PEQUEÑO PRODUCTOR MINERO,123.0
CERRO COLORADO,AREQUIPA,2023,9,PRODUCTOR MINERO ARTESANAL,1848.0
CERRO COLORADO,AREQUIPA,2023,10,PEQUEÑO PRODUCTOR MINERO,7181.0
CERRO COLORADO,AREQUIPA,2023,10,PRODUCTOR MINERO ARTESANAL,1038.0
CERRO COLORADO,AREQUIPA,2023,11,PEQUEÑO PRODUCTOR MINERO,1450.0
CERRO COLORADO,AREQUIPA,2023,11,PRODUCTOR MINERO ARTESANAL,210.0
CERRO COLORADO,AREQUIPA,2023,12,PEQUEÑO PRODUCTOR MINERO,2331.0
CERRO COLORADO,AREQUIPA,2023,12,PRODUCTOR MINERO ARTESANAL,34.0
CERRO COLORADO,AREQUIPA,2024,1,PEQUEÑO PRODUCTOR MINERO,1355.0
